Geo_Code,Prov_Name,CMA_CA_Name,CT_Name,GNR,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
9150102.04,British Columbia,Kelowna,0102.04,36.2,Citizenship,Total population in private households by citizenship,1,5820,,2745,,3070,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Citizenship,  Canadian citizens,,5665,,2685,,2980,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Citizenship,    Canadian citizens aged under 18,,800,,400,,395,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Citizenship,    Canadian citizens aged 18 and over,,4875,,2285,,2590,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Citizenship,  Not Canadian citizens,2,150,,60,,90,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,Total population in private households by immigrant status and period of immigration,3,5820,,2745,,3075,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,  Non-immigrants,4,5215,,2475,,2740,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,  Immigrants,5,590,,265,,325,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,    Before 1971,,300,,120,,185,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,    1971 to 1980,,135,,65,,70,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,    1981 to 1990,,60,,40,,25,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,    1991 to 2000,,15,,10,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,    2001 to 2011,6,75,,40,,40,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,      2001 to 2005,,30,,10,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,      2006 to 2011,6,50,,25,,25,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and period of immigration,  Non-permanent residents,7,15,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Age at immigration,Total immigrant population in private households by age at immigration,8,590,,265,,325,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Age at immigration,  Under 5 years,,50,,25,,30,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Age at immigration,  5 to 14 years,,130,,50,,80,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Age at immigration,  15 to 24 years,,170,,60,,115,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Age at immigration,  25 to 44 years,,215,,120,,100,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Age at immigration,  45 years and over,,20,,15,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,Total population in private households by immigrant status and selected places of birth,9,5820,,2740,,3070,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,  Non-immigrants,10,5210,,2475,,2735,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,    Born in province of residence,,2465,,1170,,1300,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,    Born outside province of residence,,2750,,1305,,1440,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,  Immigrants,11,590,,265,,325,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,    Americas,,70,,20,,50,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      United States,,35,,10,,30,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Jamaica,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Guyana,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Haiti,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Mexico,,15,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Trinidad and Tobago,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Colombia,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      El Salvador,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Peru,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Chile,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Other places of birth in Americas,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,    Europe,,450,,215,,240,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      United Kingdom,12,240,,95,,150,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Italy,,25,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Germany,,75,,35,,35,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Poland,,20,,20,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Portugal,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Netherlands,,20,,10,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      France,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Romania,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Russian Federation,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Greece,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Ukraine,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Croatia,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Hungary,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Bosnia and Herzegovina,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Serbia,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,"      Ireland, Republic of",,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Other places of birth in Europe,,30,,15,,15,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,    Africa,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Morocco,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Algeria,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Egypt,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,"      South Africa, Republic of",,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Nigeria,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Ethiopia,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Kenya,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Other places of birth in Africa,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,    Asia,,60,,20,,35,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      India,,20,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      China,13,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Philippines,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Hong Kong Special Administrative Region,,0,,0,,0,
9150102.04,British Columbia,Kelowna,0102.04,36.2,Immigrant status and selected places of birth,      Viet Nam,14,0,,0,,0,
